dcId,customerId,costPerUnit
94104,06040,4726.74
97301,06040,4510.96
02301,06460,217.46
06010,06460,56.67
07087,06460,106.20
10025,06460,100.48
19143,06460,258.90
21234,06460,403.33
27406,06460,919.07
29445,06460,1235.09
30044,06460,1404.30
32203,06460,1606.79
35215,06460,1674.35
38109,06460,1826.16
40601,06460,1191.60
44035,06460,845.10
45401,06460,1068.20
47906,06460,1304.62
48180,06460,955.18
52001,06460,1635.95
53511,06460,1486.36
60623,06460,1365.75
63376,06460,1696.95
74012,06460,2289.32
75221,06460,2570.76
80126,06460,3013.39
85032,06460,3919.28
90201,06460,4485.99
94104,06460,4691.26
97301,06460,4491.74
02301,06511,201.55
06010,06511,44.54
07087,06511,122.24
10025,06511,116.55
19143,06511,275.20
21234,06511,419.49
27406,06511,935.46
29445,06511,1251.23
30044,06511,1420.57
32203,06511,1622.88
35215,06511,1690.35
38109,06511,1841.11
40601,06511,1205.96
44035,06511,856.21
45401,06511,1081.26
47906,06511,1316.50
48180,06511,964.79
52001,06511,1645.40
53511,06511,1495.78
60623,06511,1375.95
63376,06511,1709.69
74012,06511,2302.80
75221,06511,2585.35
80126,06511,3023.90
85032,06511,3931.38
90201,06511,4497.17
94104,06511,4700.65
97301,06511,4498.23
02301,06902,267.37
06010,06902,94.66
07087,06902,56.64
10025,06902,51.04
19143,06902,210.28
21234,06902,353.95
27406,06902,871.48
29445,06902,1191.50
30044,06902,1355.29
32203,06902,1563.58
35215,06902,1624.55
38109,06902,1776.31
40601,06902,1142.34
44035,06902,801.63
45401,06902,1020.87
47906,06902,1259.41
48180,06902,914.97
52001,06902,1595.82
53511,06902,1446.33
60623,06902,1323.99
63376,06902,1650.07
74012,06902,2241.21
75221,06902,2521.21
80126,06902,2970.76
85032,06902,3873.44
90201,06902,4441.90
94104,06902,4650.96
97301,06902,4458.32
02301,07002,338.16
06010,07002,165.56
07087,07002,16.21
10025,07002,21.23
19143,07002,138.29
21234,07002,282.43
27406,07002,799.56
29445,07002,1121.75
30044,07002,1283.48
32203,07002,1494.02
35215,07002,1553.67
38109,07002,1709.69
40601,07002,1078.59
44035,07002,754.21
45401,07002,963.33
47906,07002,1207.00
48180,07002,874.27
52001,07002,1554.03
53511,07002,1404.90
60623,07002,1279.19
63376,07002,1593.24
74012,07002,2180.84
75221,07002,2455.99
80126,07002,2923.13
85032,07002,3818.63
90201,07002,4390.94
94104,07002,4607.72
97301,07002,4427.79
02301,07055,327.40
06010,07055,149.60
07087,07055,13.77
10025,07055,16.80
19143,07055,153.65
21234,07055,295.20
27406,07055,815.17
29445,07055,1140.61
30044,07055,1296.80
32203,07055,1512.99
35215,07055,1564.85
38109,07055,1716.19
40601,07055,1082.86
44035,07055,749.53
45401,07055,963.71
47906,07055,1204.78
48180,07055,866.91
52001,07055,1547.29
53511,07055,1397.99
60623,07055,1273.60
63376,07055,1593.33
74012,07055,2182.98
75221,07055,2461.39
80126,07055,2918.90
85032,07055,3817.76
90201,07055,4388.23
94104,07055,4601.72
97301,07055,4417.26
02301,07087,323.65
06010,07087,149.57
07087,07087,0.00
10025,07087,5.77
19143,07087,153.82
21234,07087,297.32
27406,07087,815.31
29445,07087,1137.96
30044,07087,1298.65
32203,07087,1510.23
35215,07087,1568.15
38109,07087,1722.27
40601,07087,1090.09
44035,07087,760.59
45401,07087,972.78
47906,07087,1214.95
48180,07087,878.87
52001,07087,1559.08
53511,07087,1409.83
60623,07087,1285.01
63376,07087,1602.55
74012,07087,2191.29
75221,07087,2468.08
80126,07087,2929.86
85032,07087,3827.42
90201,07087,4398.63
94104,07087,4613.30
97301,07087,4430.12
02301,07093,322.35
06010,07093,148.20
07087,07093,1.37
10025,07093,4.58
19143,07093,155.18
21234,07093,298.65
27406,07093,816.67
29445,07093,1139.32
30044,07093,1299.99
32203,07093,1511.59
35215,07093,1569.45
38109,07093,1723.46
40601,07093,1091.20
44035,07093,761.32
45401,07093,973.74
47906,07093,1215.79
48180,07093,879.46
52001,07093,1559.70
53511,07093,1410.45
60623,07093,1285.69
63376,07093,1603.49
74012,07093,2192.32
75221,07093,2469.22
80126,07093,2930.61
85032,07093,3828.32
90201,07093,4399.45
94104,07093,4613.96
97301,07093,4430.52
02301,07111,343.43
06010,07111,167.42
07087,07111,20.25
10025,07111,26.00
19143,07111,135.60
21234,07111,278.04
27406,07111,797.21
29445,07111,1122.10
30044,07111,1279.56
32203,07111,1494.48
35215,07111,1548.45
38109,07111,1702.03
40601,07111,1069.91
44035,07111,742.51
45401,07111,953.15
47906,07111,1196.00
48180,07111,861.99
52001,07111,1541.89
53511,07111,1392.72
60623,07111,1267.30
63376,07111,1582.99
74012,07111,2171.34
75221,07111,2447.84
80126,07111,2911.60
85032,07111,3808.08
90201,07111,4379.83
94104,07111,4595.76
97301,07111,4415.04
02301,07305,333.54
06010,07305,160.48
07087,07305,11.06
10025,07305,16.16
19143,07305,143.21
21234,07305,287.14
27406,07305,804.56
29445,07305,1126.90
30044,07305,1288.29
32203,07305,1499.18
35215,07305,1558.26
38109,07305,1713.67
40601,07305,1082.22
44035,07305,756.19
45401,07305,966.30
47906,07305,1209.49
48180,07305,875.68
52001,07305,1555.60
53511,07305,1406.43
60623,07305,1281.01
63376,07305,1596.17
74012,07305,2184.14
75221,07305,2459.82
80126,07305,2925.25
85032,07305,3821.40
90201,07305,4393.36
94104,07305,4609.47
97301,07305,4428.51
02301,07470,335.79
06010,07470,154.75
07087,07470,29.92
10025,07470,33.09
19143,07470,151.43
21234,07470,289.94
27406,07470,811.71
29445,07470,1140.37
30044,07470,1291.26
32203,07470,1512.82
35215,07470,1557.68
38109,07470,1706.01
40601,07470,1071.56
44035,07470,734.66
45401,07470,950.62
47906,07470,1190.65
48180,07470,851.32
52001,07470,1531.81
53511,07470,1382.48
60623,07470,1258.42
63376,07470,1580.05
74012,07470,2170.56
75221,07470,2450.57
80126,07470,2904.05
85032,07470,3804.05
90201,07470,4373.85
94104,07470,4586.39
97301,07470,4401.09
02301,08701,388.84
06010,08701,229.82
07087,08701,87.64
10025,08701,91.14
19143,08701,96.94
21234,08701,240.01
27406,08701,743.61
29445,08701,1056.88
30044,08701,1233.09
32203,08701,1428.72
35215,08701,1508.96
38109,08701,1678.35
40601,08701,1054.93
44035,08701,759.47
45401,08701,951.90
47906,08701,1202.87
48180,08701,887.39
52001,08701,1563.47
53511,08701,1415.12
60623,08701,1285.47
63376,08701,1581.28
74012,08701,2162.07
75221,08701,2427.34
80126,08701,2923.59
85032,08701,3808.31
90201,08701,4386.19
94104,08701,4613.26
97301,08701,4448.12
02301,08753,398.78
06010,08753,243.74
07087,08753,104.08
10025,08753,107.33
19143,08753,97.09
21234,08753,236.13
27406,08753,733.95
29445,08753,1044.07
30044,08753,1224.89
32203,08753,1415.70
35215,08753,1502.32
38109,08753,1675.28
40601,08753,1054.09
44035,08753,765.73
45401,08753,954.14
47906,08753,1206.67
48180,08753,895.22
52001,08753,1570.17
53511,08753,1422.04
60623,08753,1291.57
63376,08753,1583.08
74012,08753,2162.08
75221,08753,2424.84
80126,08753,2928.06
85032,08753,3810.21
90201,08753,4389.37
94104,08753,4618.78
97301,08753,4456.87
02301,08854,372.38
06010,08854,197.16
07087,08854,48.77
10025,08854,54.47
19143,08854,105.88
21234,08854,248.58
27406,08854,767.49
29445,08854,1093.16
30044,08854,1250.00
32203,08854,1465.58
35215,08854,1519.41
38109,08854,1675.08
40601,08854,1044.38
44035,08854,724.90
45401,08854,930.61
47906,08854,1175.72
48180,08854,847.32
52001,08854,1526.23
53511,08854,1377.30
60623,08854,1250.44
63376,08854,1560.57
74012,08854,2147.25
75221,08854,2421.51
80126,08854,2893.11
85032,08854,3786.39
90201,08854,4359.80
94104,08854,4579.06
97301,08854,4403.79
02301,10025,317.92
06010,10025,144.33
07087,10025,5.77
10025,10025,0.00
19143,10025,159.31
21234,10025,302.97
27406,10025,820.71
29445,10025,1142.82
30044,10025,1304.26
32203,10025,1515.07
35215,10025,1573.87
38109,10025,1728.03
40601,10025,1095.77
44035,10025,765.50
45401,10025,978.22
47906,10025,1220.14
48180,10025,883.38
52001,10025,1563.68
53511,10025,1414.41
60623,10025,1289.79
63376,10025,1607.96
74012,10025,2196.85
75221,10025,2473.80
80126,10025,2934.81
85032,10025,3832.74
90201,10025,4403.76
94104,10025,4618.01
97301,10025,4434.04
02301,10314,349.20
06010,10314,178.42
07087,10314,29.66
10025,10314,34.33
19143,10314,126.46
21234,10314,271.32
27406,10314,787.19
29445,10314,1108.49
30044,10314,1271.88
32203,10314,1480.74
35215,10314,1542.88
38109,10314,1700.92
40601,10314,1070.93
44035,10314,751.40
45401,10314,957.67
47906,10314,1202.70
48180,10314,873.02
52001,10314,1552.27
53511,10314,1403.27
60623,10314,1276.79
63376,10314,1587.64
74012,10314,2174.15
75221,10314,2447.70
80126,10314,2919.85
85032,10314,3813.46
90201,10314,4386.76
94104,10314,4605.41
97301,10314,4428.29
02301,10467,305.19
06010,10467,131.13
07087,10467,18.68
10025,10467,13.22
19143,10467,172.48
21234,10467,315.95
27406,10467,833.92
29445,10467,1155.84
30044,10467,1317.32
32203,10467,1528.07
35215,10467,1586.65
38109,10467,1739.80
40601,10467,1106.92
44035,10467,773.29
45401,10467,988.06
47906,10467,1228.95
48180,10467,889.86
52001,10467,1570.40
53511,10467,1421.05
60623,10467,1297.08
63376,10467,1617.67
74012,10467,2207.29
75221,10467,2485.26
80126,10467,2942.68
85032,10467,3842.05
90201,10467,4412.29
94104,10467,4625.02
97301,10467,4438.61
02301,10701,304.32
06010,10701,128.14
07087,10701,21.76
10025,10701,17.26
19143,10701,174.93
21234,10701,317.60
27406,10701,836.54
29445,10701,1159.72
30044,10701,1319.14
32203,10701,1532.00
35215,10701,1587.75
38109,10701,1739.41
40601,10701,1105.89
44035,10701,769.85
45401,10701,985.93
47906,10701,1226.09
48180,10701,885.71
52001,10701,1566.34
53511,10701,1416.96
60623,10701,1293.34
63376,10701,1615.42
74012,10701,2205.61
75221,10701,2484.53
80126,10701,2939.23
85032,10701,3839.49
90201,10701,4409.23
94104,10701,4621.10
97301,10701,4433.59
02301,11226,327.02
06010,11226,158.29
07087,11226,17.73
10025,11226,18.85
19143,11226,148.46
21234,11226,293.57
27406,11226,808.55
29445,11226,1127.93
30044,11226,1293.87
32203,11226,1500.05
35215,11226,1565.18
38109,11226,1723.10
40601,11226,1092.68
44035,11226,769.52
45401,11226,978.23
47906,11226,1222.19
48180,11226,889.52
52001,11226,1569.31
53511,11226,1420.18
60623,11226,1294.51
63376,11226,1608.16
74012,11226,2195.39
75221,11226,2469.72
80126,11226,2938.44
85032,11226,3833.67
90201,11226,4406.16
94104,11226,4623.03
97301,11226,4442.69
02301,11355,311.71
06010,11355,142.87
07087,11355,18.32
10025,11355,14.45
19143,11355,163.90
21234,11355,308.80
27406,11355,824.16
29445,11355,1143.30
30044,11355,1309.33
32203,11355,1515.38
35215,11355,1580.32
38109,11355,1737.07
40601,11355,1105.88
44035,11355,778.69
45401,11355,989.87
47906,11355,1232.66
48180,11355,897.17
52001,11355,1577.36
53511,11355,1428.12
60623,11355,1303.21
63376,11355,1619.71
74012,11355,2207.84
75221,11355,2483.37
80126,11355,2947.91
85032,11355,3844.83
90201,11355,4416.43
94104,11355,4631.53
97301,11355,4448.32
02301,11368,315.06
06010,11368,145.39
07087,11368,14.94
10025,11368,11.74
19143,11368,160.67
21234,11368,305.44
27406,11368,821.16
29445,11368,1140.84
30044,11368,1306.09
32203,11368,1512.96
35215,11368,1576.90
38109,11368,1733.40
40601,11368,1102.14
44035,11368,775.05
45401,11368,986.11
47906,11368,1228.93
48180,11368,893.66
52001,11368,1573.82
53511,11368,1424.59
60623,11368,1299.61
63376,11368,1615.96
74012,11368,2204.07
75221,11368,2479.66
80126,11368,2944.25
85032,11368,3841.08
90201,11368,4412.72
94104,11368,4627.95
97301,11368,4445.06
02301,11372,316.72
06010,11372,146.42
07087,11372,12.75
10025,11372,9.96
19143,11372,159.14
21234,11372,303.78
27406,11372,819.81
29445,11372,1139.89
30044,11372,1304.54
32203,11372,1512.04
35215,11372,1575.19
38109,11372,1731.41
40601,11372,1100.06
44035,11372,772.79
45401,11372,983.91
47906,11372,1226.70
48180,11372,891.42
52001,11372,1571.57
53511,11372,1422.34
60623,11372,1297.35
63376,11372,1613.76
74012,11372,2201.92
75221,11372,2477.63
80126,11372,2941.99
85032,11372,3838.86
90201,11372,4410.48
94104,11372,4625.70
97301,11372,4442.87
02301,11373,317.19
06010,11373,147.43
07087,11373,13.98
10025,11373,11.59
19143,11373,158.53
21234,11373,303.31
27406,11373,819.04
29445,11373,1138.82
30044,11373,1303.96
32203,11373,1510.95
35215,11373,1574.78
38109,11373,1731.37
40601,11373,1100.19
44035,11373,773.55
45401,11373,984.32
47906,11373,1227.29
48180,11373,892.35
52001,11373,1572.46
53511,11373,1423.24
60623,11373,1298.17
63376,11373,1614.18
74012,11373,2202.20
75221,11373,2477.66
80126,11373,2942.72
85032,11373,3839.35
90201,11373,4411.10
94104,11373,4626.54
97301,11373,4444.00
02301,11375,315.96
06010,11375,147.48
07087,11375,17.56
10025,11375,15.05
19143,11375,159.56
21234,11375,304.58
27406,11375,819.67
29445,11375,1138.69
30044,11375,1304.98
32203,11375,1510.77
35215,11375,1576.15
38109,11375,1733.41
40601,11375,1102.51
44035,11375,776.72
45401,11375,987.07
47906,11375,1230.27
48180,11375,895.70
52001,11375,1575.77
53511,11375,1426.56
60623,11375,1301.40
63376,11375,1616.95
74012,11375,2204.76
75221,11375,2479.84
80126,11375,2945.86
85032,11375,3842.21
90201,11375,4414.11
94104,11375,4629.80
97301,11375,4447.50
02301,11377,318.79
06010,11377,148.29
07087,11377,11.61
10025,11377,9.76
19143,11377,157.10
21234,11377,301.72
27406,11377,817.82
29445,11377,1138.07
30044,11377,1302.49
32203,11377,1510.22
35215,11377,1573.12
38109,11377,1729.36
40601,11377,1098.05
44035,11377,771.11
45401,11377,982.02
47906,11377,1224.90
48180,11377,889.89
52001,11377,1570.00
53511,11377,1420.79
60623,11377,1295.72
63376,11377,1611.87
74012,11377,2199.97
75221,11377,2475.59
80126,11377,2940.29
85032,11377,3837.01
90201,11377,4408.70
94104,11377,4624.09
97301,11377,4441.57
02301,11385,310.88
06010,11385,141.71
07087,11385,18.07
10025,11385,13.87
19143,11385,164.79
21234,11385,309.62
27406,11385,825.16
29445,11385,1144.46
30044,11385,1310.22
32203,11385,1516.55
35215,11385,1581.10
38109,11385,1737.60
40601,11385,1106.28
44035,11385,778.60
45401,11385,990.06
47906,11385,1232.70
48180,11385,896.92
52001,11385,1577.15
53511,11385,1427.90
60623,11385,1303.06
63376,11385,1619.89
74012,11385,2208.13
75221,11385,2483.84
80126,11385,2947.84
85032,11385,3844.95
90201,11385,4416.45
94104,11385,4631.36
97301,11385,4447.88
02301,11434,313.41
06010,11434,148.22
07087,11434,26.21
10025,11434,23.63
19143,11434,162.08
21234,11434,307.56
27406,11434,820.96
29445,11434,1138.13
30044,11434,1307.23
32203,11434,1510.10
35215,11434,1579.24
38109,11434,1738.15
40601,11434,1107.97
44035,11434,784.28
45401,11434,993.56
47906,11434,1237.33
48180,11434,903.69
52001,11434,1583.67
53511,11434,1434.49
60623,11434,1309.11
63376,11434,1623.48
74012,11434,2210.75
75221,11434,2484.90
80126,11434,2953.31
85032,11434,3848.94
90201,11434,4421.26
94104,11434,4637.57
97301,11434,4455.91
02301,11550,296.89
06010,11550,135.41
07087,11550,39.32
10025,11550,34.90
19143,11550,178.87
21234,11550,324.49
27406,11550,836.75
29445,11550,1152.04
30044,11550,1323.69
32203,11550,1523.83
35215,11550,1596.17
38109,11550,1755.48
40601,11550,1125.22
44035,11550,799.74
45401,11550,1010.31
47906,11550,1253.52
48180,11550,918.18
52001,11550,1598.40
53511,11550,1449.15
60623,11550,1324.28
63376,11550,1640.20
74012,11550,2227.81
75221,11550,2502.21
80126,11550,2968.94
85032,11550,3865.49
90201,11550,4437.35
94104,11550,4652.60
97301,11550,4468.85
02301,11691,317.66
06010,11691,155.03
07087,11691,32.32
10025,11691,30.76
19143,11691,158.36
21234,11691,304.07
27406,11691,815.90
29445,11691,1131.72
30044,11691,1302.93
32203,11691,1503.60
35215,11691,1575.71
38109,11691,1736.32
40601,11691,1107.01
44035,11691,786.51
45401,11691,994.00
47906,11691,1238.65
48180,11691,906.83
52001,11691,1586.56
53511,11691,1437.44
60623,11691,1311.61
63376,11691,1623.96
74012,11691,2210.48
75221,11691,2483.43
80126,11691,2955.29
85032,11691,3849.71
90201,11691,4422.68
94104,11691,4640.17
97301,11691,4460.10
02301,11706,270.24
06010,11706,121.81
07087,11706,70.47
10025,11706,65.49
19143,11706,207.80
21234,11706,353.58
27406,11706,862.24
29445,11706,1172.80
30044,11706,1350.98
32203,11706,1544.11
35215,11706,1624.96
38109,11706,1786.55
40601,11706,1156.90
44035,11706,831.00
45401,11706,1042.32
47906,11706,1285.31
48180,11706,948.46
52001,11706,1628.91
53511,11706,1479.59
60623,11706,1355.23
63376,11706,1672.20
74012,11706,2259.76
75221,11706,2533.58
80126,11706,3000.30
85032,11706,3897.44
90201,11706,4469.06
94104,11706,4683.37
97301,11706,4497.18
02301,11746,272.59
06010,11746,115.37
07087,11746,59.21
10025,11746,53.84
19143,11746,203.28
21234,11746,348.89
27406,11746,860.72
29445,11746,1174.48
30044,11746,1348.00
32203,11746,1546.10
35215,11746,1620.58
38109,11746,1779.31
40601,11746,1148.40
44035,11746,818.71
45401,11746,1031.98
47906,11746,1273.90
48180,11746,935.29
52001,11746,1615.87
53511,11746,1466.51
60623,11746,1342.58
63376,11746,1661.76
74012,11746,2250.27
75221,11746,2525.78
80126,11746,2988.09
85032,11746,3886.58
90201,11746,4457.43
94104,11746,4670.52
97301,11746,4483.02
02301,11758,288.07
06010,11758,132.83
07087,11758,53.29
10025,11758,48.82
19143,11758,188.95
21234,11758,334.73
27406,11758,844.69
29445,11758,1157.33
30044,11758,1332.75
32203,11758,1528.89
35215,11758,1606.24
38109,11758,1767.35
40601,11758,1137.77
44035,11758,813.66
45401,11758,1023.68
47906,11758,1267.24
48180,11758,932.15
52001,11758,1612.37
53511,11758,1463.13
60623,11758,1338.23
63376,11758,1653.60
74012,11758,2240.81
75221,11758,2514.39
80126,11758,2982.84
85032,11758,3879.02
90201,11758,4451.11
94104,11758,4666.56
97301,11758,4482.61
02301,12180,257.34
06010,12180,145.35
07087,12180,241.15
10025,12180,238.22
19143,12180,371.92
21234,12180,493.77
27406,12180,1015.87
29445,12180,1358.27
30044,12180,1478.54
32203,12180,1730.48
35215,12180,1729.34
38109,12180,1842.19
40601,12180,1197.35
44035,12180,794.41
45401,12180,1047.40
47906,12180,1259.24
48180,12180,879.81
52001,12180,1551.58
53511,12180,1402.60
60623,12180,1293.79
63376,12180,1663.92
74012,12180,2267.94
75221,12180,2574.13
80126,12180,2939.41
85032,12180,3868.91
90201,12180,4420.27
94104,12180,4600.32
97301,12180,4368.05
02301,12550,290.64
06010,12550,104.85
07087,12550,89.40
10025,12550,87.41
19143,12550,222.61
21234,12550,354.81
27406,12550,878.53
29445,12550,1211.98
30044,12550,1352.92
32203,12550,1584.44
35215,12550,1614.40
38109,12550,1751.12
40601,12550,1111.93
44035,12550,750.46
45401,12550,980.59
47906,12550,1212.08
48180,12550,857.54
52001,12550,1538.07
53511,12550,1388.46
60623,12550,1269.03
63376,12550,1607.59
74012,12550,2203.37
75221,12550,2492.19
80126,12550,2917.18
85032,12550,3827.26
90201,12550,4391.27
94104,12550,4593.31
97301,12550,4392.64
02301,14221,715.76
06010,14221,556.14
07087,14221,514.82
10025,14221,517.95
19143,14221,500.39
21234,14221,494.12
27406,14221,870.39
29445,14221,1248.64
30044,14221,1232.51
32203,14221,1599.36
35215,14221,1429.43
38109,14221,1468.78
40601,14221,831.29
44035,14221,369.94
45401,14221,647.69
47906,14221,820.76
48180,14221,424.90
52001,14221,1090.48
53511,14221,941.66
60623,14221,836.34
63376,14221,1230.90
74012,14221,1840.63
75221,14221,2172.57
80126,14221,2478.92
85032,14221,3415.55
90201,14221,3960.99
94104,14221,4139.92
97301,14221,3924.30
02301,14850,505.16
06010,14850,340.47
07087,14850,309.06
10025,14850,311.38
19143,14850,334.00
21234,14850,383.73
27406,14850,859.69
29445,14850,1226.92
30044,14850,1284.72
32203,14850,1592.75
35215,14850,1515.15
38109,14850,1601.48
40601,14850,955.68
44035,14850,537.20
45401,14850,795.66
47906,14850,1001.72
48180,14850,623.64
52001,14850,1299.34
53511,14850,1149.93
60623,14850,1037.82
63376,14850,1407.35
74012,14850,2012.82
75221,14850,2325.87
80126,14850,2685.08
85032,14850,3611.26
90201,14850,4164.49
94104,14850,4352.13
97301,14850,4140.02
02301,15601,827.61
06010,15601,641.81
07087,15601,525.03
10025,15601,530.49
19143,15601,414.13
21234,15601,309.58
27406,15601,532.33
29445,15601,910.74
30044,15601,903.75
32203,15601,1258.43
35215,15601,1124.79
38109,15601,1221.08
40601,15601,577.31
44035,15601,274.13
45401,15601,447.79
47906,15601,696.42
48180,15601,422.13
52001,15601,1072.18
53511,15601,926.77
60623,15601,790.09
63376,15601,1077.70
74012,15601,1667.72
75221,15601,1956.94
80126,15601,2418.34
85032,15601,3303.58
90201,15601,3879.49
94104,15601,4111.60
97301,15601,3973.91
02301,17013,623.28
06010,17013,438.11
07087,17013,307.90
10025,17013,313.56
19143,17013,190.69
21234,17013,121.19
27406,17013,578.23
29445,17013,940.79
30044,17013,1028.24
32203,17013,1308.29
35215,17013,1281.12
38109,17013,1416.98
40601,17013,782.29
44035,17013,484.39
45401,17013,669.54
47906,17013,920.25
48180,17013,621.50
52001,17013,1288.88
53511,17013,1141.77
60623,17013,1008.50
63376,17013,1299.33
74012,17013,1884.27
75221,17013,2161.03
80126,17013,2641.80
85032,17013,3526.06
90201,17013,4103.27
94104,17013,4333.72
97301,17013,4184.18
02301,17055,607.06
06010,17055,422.11
07087,17055,290.98
10025,17055,296.66
19143,17055,174.16
21234,17055,114.84
27406,17055,587.57
29445,17055,947.85
30044,17055,1041.13
32203,17055,1316.16
35215,17055,1295.58
38109,17055,1433.35
40601,17055,799.13
44035,17055,500.08
45401,17055,686.66
47906,17055,937.12
48180,17055,636.21
52001,17055,1304.72
53511,17055,1157.46
60623,17055,1024.58
63376,17055,1316.47
74012,17055,1901.36
75221,17055,2177.70
80126,17055,2658.54
85032,17055,3543.17
90201,17055,4120.26
94104,17055,4350.17
97301,17055,4199.19
02301,17404,600.15
06010,17404,417.24
07087,17404,279.09
10025,17404,284.85
19143,17404,148.17
21234,17404,77.95
27406,17404,572.39
29445,17404,926.95
30044,17404,1035.41
32203,17404,1296.74
35215,17404,1295.50
38109,17404,1443.25
40601,17404,813.55
44035,17404,531.96
45401,17404,708.98
47906,17404,963.00
48180,17404,670.36
52001,17404,1335.90
53511,17404,1189.14
60623,17404,1054.97
63376,17404,1337.95
74012,17404,1919.07
75221,17404,2189.71
80126,17404,2685.34
85032,17404,3565.07
90201,17404,4144.62
94104,17404,4378.66
97301,17404,4232.61
02301,17603,559.41
06010,17603,377.59
07087,17603,237.34
10025,17603,243.12
19143,17603,106.86
21234,17603,85.56
27406,17603,602.50
29445,17603,950.83
30044,17603,1071.57
32203,17603,1321.85
35215,17603,1334.45
38109,17603,1485.32
40601,17603,856.16
44035,17603,568.55
45401,17603,750.78
47906,17603,1003.63
48180,17603,704.34
52001,17603,1373.16
53511,17603,1225.94
60623,17603,1092.89
63376,17603,1380.02
74012,17603,1961.65
75221,17603,2232.08
80126,17603,2725.60
85032,17603,3607.09
90201,17603,4185.93
94104,17603,4417.99
97301,17603,4267.47
02301,18103,455.59
06010,18103,272.11
07087,18103,138.66
10025,18103,144.26
19143,18103,83.67
21234,18103,182.77
27406,18103,706.12
29445,18103,1047.84
30044,18103,1177.95
32203,18103,1419.82
35215,18103,1440.42
38109,18103,1585.71
40601,18103,951.82
44035,18103,629.93
45401,18103,834.85
47906,18103,1079.59
48180,18103,754.89
52001,18103,1432.50
53511,18103,1283.81
60623,18103,1155.79
63376,18103,1464.78
74012,18103,2052.66
75221,18103,2330.45
80126,18103,2797.42
